FuncionarioChave;Data;DiaSemana;Codigo;Fonte;Observacao
U3PX;2022-11-14;SEG;NB;STD_2022;
URGU;2022-11-14;SEG;NB;STD_2022;
B5QM;2022-11-14;SEG;NB;STD_2022;
BH1E;2022-11-14;SEG;NB;STD_2022;
CXLT;2022-11-14;SEG;NB;STD_2022;
JMU9;2022-11-14;SEG;NB;STD_2022;
FRCF;2022-11-14;SEG;NB;STD_2022;
YT3I;2022-11-14;SEG;NB;STD_2022;
NVBN;2022-11-14;SEG;NB;STD_2022;
FRD9;2022-11-14;SEG;NB;STD_2022;
WV8P;2022-11-14;SEG;NB;STD_2022;
M37R;2022-11-14;SEG;NB;STD_2022;
KB1O;2022-11-14;SEG;NB;STD_2022;
URON;2022-11-14;SEG;NB;STD_2022;
WMFR;2022-11-14;SEG;NB;STD_2022;
URVX;2022-11-14;SEG;NB;STD_2022;
EK5H;2022-11-15;TER;NB;STD_2022;
YMOF;2022-11-15;TER;NB;STD_2022;
NSYD;2022-11-15;TER;O;STD_2022;
TFBN;2022-11-15;TER;NB;STD_2022;
U4IC;2022-11-15;TER;NB;STD_2022;
CX1A;2022-11-15;TER;NB;STD_2022;
URPQ;2022-11-15;TER;NB;STD_2022;
U3PE;2022-11-15;TER;NB;STD_2022;
U3PX;2022-11-15;TER;NB;STD_2022;
URGU;2022-11-15;TER;NB;STD_2022;
B5QM;2022-11-15;TER;NB;STD_2022;
BH1E;2022-11-15;TER;NB;STD_2022;
CXLT;2022-11-15;TER;NB;STD_2022;
JMU9;2022-11-15;TER;NB;STD_2022;
FRCF;2022-11-15;TER;NB;STD_2022;
YT3I;2022-11-15;TER;NB;STD_2022;
NVBN;2022-11-15;TER;NB;STD_2022;
FRD9;2022-11-15;TER;NB;STD_2022;
WV8P;2022-11-15;TER;NB;STD_2022;
M37R;2022-11-15;TER;NB;STD_2022;
KB1O;2022-11-15;TER;NB;STD_2022;
URON;2022-11-15;TER;NB;STD_2022;
WMFR;2022-11-15;TER;NB;STD_2022;
URVX;2022-11-15;TER;NB;STD_2022;
EK5H;2022-11-16;QUA;NB;STD_2022;
YMOF;2022-11-16;QUA;NB;STD_2022;
NSYD;2022-11-16;QUA;O;STD_2022;
TFBN;2022-11-16;QUA;NB;STD_2022;
U4IC;2022-11-16;QUA;NB;STD_2022;
CX1A;2022-11-16;QUA;NB;STD_2022;
URPQ;2022-11-16;QUA;NB;STD_2022;
U3PE;2022-11-16;QUA;NB;STD_2022;
U3PX;2022-11-16;QUA;NB;STD_2022;
URGU;2022-11-16;QUA;NB;STD_2022;
B5QM;2022-11-16;QUA;NB;STD_2022;
BH1E;2022-11-16;QUA;NB;STD_2022;
CXLT;2022-11-16;QUA;NB;STD_2022;
JMU9;2022-11-16;QUA;NB;STD_2022;
FRCF;2022-11-16;QUA;NB;STD_2022;
YT3I;2022-11-16;QUA;NB;STD_2022;
NVBN;2022-11-16;QUA;NB;STD_2022;
FRD9;2022-11-16;QUA;NB;STD_2022;
WV8P;2022-11-16;QUA;NB;STD_2022;
M37R;2022-11-16;QUA;NB;STD_2022;
KB1O;2022-11-16;QUA;NB;STD_2022;
URON;2022-11-16;QUA;NB;STD_2022;
WMFR;2022-11-16;QUA;NB;STD_2022;
URVX;2022-11-16;QUA;NB;STD_2022;
EK5H;2022-11-17;QUI;NB;STD_2022;
YMOF;2022-11-17;QUI;NB;STD_2022;
NSYD;2022-11-17;QUI;O;STD_2022;
TFBN;2022-11-17;QUI;NB;STD_2022;
U4IC;2022-11-17;QUI;NB;STD_2022;
CX1A;2022-11-17;QUI;NB;STD_2022;
URPQ;2022-11-17;QUI;NB;STD_2022;
U3PE;2022-11-17;QUI;NB;STD_2022;
U3PX;2022-11-17;QUI;NB;STD_2022;
URGU;2022-11-17;QUI;NB;STD_2022;
B5QM;2022-11-17;QUI;NB;STD_2022;
BH1E;2022-11-17;QUI;NB;STD_2022;
CXLT;2022-11-17;QUI;NB;STD_2022;
JMU9;2022-11-17;QUI;NB;STD_2022;
FRCF;2022-11-17;QUI;NB;STD_2022;
YT3I;2022-11-17;QUI;NB;STD_2022;
NVBN;2022-11-17;QUI;NB;STD_2022;
FRD9;2022-11-17;QUI;NB;STD_2022;
WV8P;2022-11-17;QUI;NB;STD_2022;
M37R;2022-11-17;QUI;NB;STD_2022;
KB1O;2022-11-17;QUI;NB;STD_2022;
URON;2022-11-17;QUI;NB;STD_2022;
WMFR;2022-11-17;QUI;NB;STD_2022;
URVX;2022-11-17;QUI;NB;STD_2022;
EK5H;2022-11-18;SEX;NB;STD_2022;
YMOF;2022-11-18;SEX;NB;STD_2022;
NSYD;2022-11-18;SEX;O;STD_2022;
TFBN;2022-11-18;SEX;NB;STD_2022;
U4IC;2022-11-18;SEX;NB;STD_2022;
CX1A;2022-11-18;SEX;NB;STD_2022;
URPQ;2022-11-18;SEX;NB;STD_2022;
U3PE;2022-11-18;SEX;NB;STD_2022;
U3PX;2022-11-18;SEX;NB;STD_2022;
URGU;2022-11-18;SEX;NB;STD_2022;
B5QM;2022-11-18;SEX;NB;STD_2022;
BH1E;2022-11-18;SEX;NB;STD_2022;
CXLT;2022-11-18;SEX;NB;STD_2022;
JMU9;2022-11-18;SEX;NB;STD_2022;
FRCF;2022-11-18;SEX;NB;STD_2022;
YT3I;2022-11-18;SEX;NB;STD_2022;
NVBN;2022-11-18;SEX;NB;STD_2022;
FRD9;2022-11-18;SEX;NB;STD_2022;
WV8P;2022-11-18;SEX;NB;STD_2022;
M37R;2022-11-18;SEX;NB;STD_2022;
KB1O;2022-11-18;SEX;NB;STD_2022;
URON;2022-11-18;SEX;NB;STD_2022;
WMFR;2022-11-18;SEX;NB;STD_2022;
URVX;2022-11-18;SEX;NB;STD_2022;
EK5H;2022-11-19;SAB;NB;STD_2022;
YMOF;2022-11-19;SAB;NB;STD_2022;
NSYD;2022-11-19;SAB;O;STD_2022;
TFBN;2022-11-19;SAB;NB;STD_2022;
U4IC;2022-11-19;SAB;NB;STD_2022;
CX1A;2022-11-19;SAB;NB;STD_2022;
URPQ;2022-11-19;SAB;NB;STD_2022;
U3PE;2022-11-19;SAB;NB;STD_2022;
U3PX;2022-11-19;SAB;NB;STD_2022;
URGU;2022-11-19;SAB;NB;STD_2022;
B5QM;2022-11-19;SAB;NB;STD_2022;
BH1E;2022-11-19;SAB;NB;STD_2022;
CXLT;2022-11-19;SAB;NB;STD_2022;
JMU9;2022-11-19;SAB;NB;STD_2022;
FRCF;2022-11-19;SAB;NB;STD_2022;
YT3I;2022-11-19;SAB;NB;STD_2022;
NVBN;2022-11-19;SAB;NB;STD_2022;
FRD9;2022-11-19;SAB;NB;STD_2022;
WV8P;2022-11-19;SAB;NB;STD_2022;
M37R;2022-11-19;SAB;NB;STD_2022;
KB1O;2022-11-19;SAB;NB;STD_2022;
URON;2022-11-19;SAB;NB;STD_2022;
WMFR;2022-11-19;SAB;NB;STD_2022;
URVX;2022-11-19;SAB;NB;STD_2022;
EK5H;2022-11-20;DOM;NB;STD_2022;
YMOF;2022-11-20;DOM;NB;STD_2022;
NSYD;2022-11-20;DOM;O;STD_2022;
TFBN;2022-11-20;DOM;NB;STD_2022;
U4IC;2022-11-20;DOM;NB;STD_2022;
CX1A;2022-11-20;DOM;NB;STD_2022;
URPQ;2022-11-20;DOM;NB;STD_2022;
U3PE;2022-11-20;DOM;NB;STD_2022;
U3PX;2022-11-20;DOM;NB;STD_2022;
URGU;2022-11-20;DOM;NB;STD_2022;
B5QM;2022-11-20;DOM;NB;STD_2022;
BH1E;2022-11-20;DOM;NB;STD_2022;
CXLT;2022-11-20;DOM;NB;STD_2022;
JMU9;2022-11-20;DOM;NB;STD_2022;
FRCF;2022-11-20;DOM;NB;STD_2022;
YT3I;2022-11-20;DOM;NB;STD_2022;
NVBN;2022-11-20;DOM;NB;STD_2022;
FRD9;2022-11-20;DOM;NB;STD_2022;
WV8P;2022-11-20;DOM;NB;STD_2022;
M37R;2022-11-20;DOM;NB;STD_2022;
KB1O;2022-11-20;DOM;NB;STD_2022;
URON;2022-11-20;DOM;NB;STD_2022;
WMFR;2022-11-20;DOM;NB;STD_2022;
URVX;2022-11-20;DOM;NB;STD_2022;
EK5H;2022-11-21;SEG;NB;STD_2022;
YMOF;2022-11-21;SEG;NB;STD_2022;
NSYD;2022-11-21;SEG;O;STD_2022;
TFBN;2022-11-21;SEG;NB;STD_2022;
U4IC;2022-11-21;SEG;NB;STD_2022;
CX1A;2022-11-21;SEG;NB;STD_2022;
URPQ;2022-11-21;SEG;NB;STD_2022;
U3PE;2022-11-21;SEG;NB;STD_2022;
U3PX;2022-11-21;SEG;NB;STD_2022;
URGU;2022-11-21;SEG;NB;STD_2022;
B5QM;2022-11-21;SEG;NB;STD_2022;
BH1E;2022-11-21;SEG;NB;STD_2022;
CXLT;2022-11-21;SEG;NB;STD_2022;
JMU9;2022-11-21;SEG;NB;STD_2022;
FRCF;2022-11-21;SEG;NB;STD_2022;
YT3I;2022-11-21;SEG;NB;STD_2022;
NVBN;2022-11-21;SEG;NB;STD_2022;
FRD9;2022-11-21;SEG;NB;STD_2022;
WV8P;2022-11-21;SEG;NB;STD_2022;
M37R;2022-11-21;SEG;NB;STD_2022;
KB1O;2022-11-21;SEG;NB;STD_2022;
URON;2022-11-21;SEG;NB;STD_2022;
WMFR;2022-11-21;SEG;NB;STD_2022;
URVX;2022-11-21;SEG;NB;STD_2022;
EK5H;2022-11-22;TER;NB;STD_2022;
YMOF;2022-11-22;TER;NB;STD_2022;
NSYD;2022-11-22;TER;O;STD_2022;
TFBN;2022-11-22;TER;NB;STD_2022;
U4IC;2022-11-22;TER;NB;STD_2022;
CX1A;2022-11-22;TER;NB;STD_2022;
URPQ;2022-11-22;TER;NB;STD_2022;
U3PE;2022-11-22;TER;NB;STD_2022;
U3PX;2022-11-22;TER;NB;STD_2022;
URGU;2022-11-22;TER;NB;STD_2022;
B5QM;2022-11-22;TER;NB;STD_2022;
BH1E;2022-11-22;TER;NB;STD_2022;
CXLT;2022-11-22;TER;NB;STD_2022;
JMU9;2022-11-22;TER;NB;STD_2022;
FRCF;2022-11-22;TER;NB;STD_2022;
YT3I;2022-11-22;TER;NB;STD_2022;
NVBN;2022-11-22;TER;NB;STD_2022;
FRD9;2022-11-22;TER;NB;STD_2022;
WV8P;2022-11-22;TER;NB;STD_2022;
M37R;2022-11-22;TER;NB;STD_2022;
KB1O;2022-11-22;TER;NB;STD_2022;
URON;2022-11-22;TER;NB;STD_2022;
WMFR;2022-11-22;TER;NB;STD_2022;
